Isu Chemical,Seorae Village Entranace,Sinnonhyeon Station,Novotel Ambassador Gangnam hotel,Eonju Station(Hotel Samjung & Best Western Gangnam),Gyeongbok Apt Jct,Seonjeongneung station,The Westin Seoul Parnas (COEX),Grand Intercontinental Seoul Parnas,Ibis Ambassador Seoul Gangnam,Seolleung station,Josun Palace Gangnam(Artneuvo hotel),Nonhyeon I-PARK,Imperial Palace Seoul Hotel,Seoul main customs,Four points & Hotel sunshine,Incheon Airport Terminal 2,Incheon Airport Terminal 1
4:00,4:01,4:11,4:16,4:17,4:19,4:22,4:25,4:28,4:29,4:31,4:35,4:39,4:41,4:43,4:50,6:35,6:55
4:50,4:51,5:01,5:06,5:07,5:09,5:12,5:15,5:18,5:19,5:21,5:25,5:29,5:31,5:33,5:40,7:25,7:45
5:40,5:41,5:51,5:56,5:57,5:59,6:02,6:05,6:08,6:09,6:11,6:15,6:19,6:21,6:23,6:30,8:20,8:40
6:30,6:31,6:41,6:46,6:47,6:49,6:52,6:55,6:58,6:59,7:01,7:05,7:09,7:11,7:13,7:20,9:10,9:30
7:20,7:21,7:31,7:36,7:37,7:39,7:42,7:45,7:48,7:49,7:51,7:58,8:02,8:04,8:06,8:13,10:10,10:30
8:05,8:06,8:16,8:21,8:22,8:24,8:27,8:30,8:33,8:34,8:36,8:48,8:52,8:54,8:56,9:03,11:15,11:35
8:55,8:56,9:06,9:11,9:12,9:14,9:17,9:20,9:23,9:24,9:26,9:38,9:42,9:44,9:46,9:53,12:13,12:33
9:45,9:46,9:56,10:01,10:02,10:04,10:07,10:10,10:13,10:14,10:16,10:28,10:32,10:34,10:36,10:43,13:15,13:35
10:35,10:36,10:46,10:51,10:52,10:54,10:57,11:00,11:03,11:04,11:06,11:18,11:22,11:24,11:26,11:33,14:00,14:20
11:35,11:36,11:46,11:51,11:52,11:54,11:57,12:00,12:03,12:04,12:06,12:18,12:22,12:24,12:26,12:33,15:00,15:20
12:40,12:41,12:51,12:56,12:57,12:59,13:02,13:05,13:08,13:09,13:11,13:23,13:27,13:29,13:31,13:38,15:55,16:15
13:35,13:36,13:46,13:51,13:52,13:54,13:57,14:00,14:03,14:04,14:06,14:18,14:22,14:24,14:26,14:33,16:50,17:10
14:40,14:41,14:51,14:56,14:57,14:59,15:02,15:05,15:08,15:09,15:11,15:23,15:27,15:33,15:35,15:42,17:40,18:00
15:25,15:26,15:36,15:41,15:42,15:44,15:47,15:50,15:53,15:54,15:56,16:08,16:12,16:18,16:20,16:27,18:35,18:55
16:30,16:31,16:41,16:46,16:47,16:49,16:52,16:55,16:58,16:59,17:01,17:13,17:17,17:23,17:25,17:32,19:35,19:55
17:25,17:26,17:36,17:41,17:42,17:44,17:47,17:50,17:53,17:54,17:56,18:18,18:22,18:28,18:30,18:37,20:35,20:55
18:20,18:21,18:31,18:36,18:37,18:39,18:42,18:45,18:48,18:49,18:51,19:13,19:17,19:23,19:25,19:42,21:35,21:55
,,,,,,,,,,,,,,,,22:35,22:55